Date,Open*,High,Low,Close**,Volume,MarketCap
7-Mar-18,4.033580556,4.038600294,3.986418783,3.998502144,9.944379515,11.2615745
6-Mar-18,4.060701617,4.060701617,4.029152363,4.032614732,9.834558664,11.28864711
5-Mar-18,4.061919697,4.068338024,4.058574054,4.063457211,9.810806268,11.28981852
4-Mar-18,4.060599641,4.061173416,4.046733122,4.061173416,9.784199913,11.28844821
3-Mar-18,4.045397311,4.061761502,4.04148743,4.060308689,9.825463119,11.27318885
2-Mar-18,4.04049949,4.048791274,4.035433741,4.044790544,9.881988597,11.26824089
1-Mar-18,4.016406501,4.043452665,4.015053629,4.039453779,9.864349674,11.24409644
28-Feb-18,4.028863937,4.044923714,4.016745106,4.016945636,9.841120981,11.25650127
27-Feb-18,4.016778534,4.036569016,4.01055859,4.030421596,9.842994692,11.2443662
26-Feb-18,3.985400874,4.020154032,3.977802685,4.015640531,9.862589891,11.21294097
25-Feb-18,3.991067396,3.99665262,3.973453914,3.985189726,9.756403307,11.21855388
24-Feb-18,4.012318291,4.025191131,3.979865558,3.991804897,9.839976163,11.23975481
23-Feb-18,3.997258349,4.020663692,3.988316326,4.012883603,9.888712905,11.22465217
22-Feb-18,4.027773501,4.042933668,3.997346623,4.000217093,9.90526037,11.25511806
21-Feb-18,4.055844489,4.057609056,4.020323985,4.028993955,9.9733745,11.28313607
20-Feb-18,4.050449362,4.077676708,4.050449362,4.057045784,9.996797897,11.27769171
19-Feb-18,4.023359476,4.052070326,4.021734926,4.050197956,9.883780069,11.25055417
18-Feb-18,4.046237555,4.054988209,4.013932121,4.023326551,9.941710646,11.27337865
17-Feb-18,4.008919389,4.046865698,4.006440369,4.04581959,9.937562021,11.23601045
16-Feb-18,4.005853748,4.013852203,3.992324602,4.010041169,9.863094349,11.23289451
15-Feb-18,3.977189323,4.01007936,3.972923595,4.007167193,9.957249936,11.20418784
14-Feb-18,3.934494411,3.978570339,3.934494411,3.977478045,9.898166601,11.16143688
13-Feb-18,3.950691913,3.952233844,3.927134671,3.934413099,9.755624874,11.17758267
12-Feb-18,3.910700693,3.953562548,3.910700693,3.950684615,9.796327284,11.13753767
11-Feb-18,3.935312243,3.935312243,3.899333426,3.910088943,9.786906804,11.16210119
10-Feb-18,3.940520469,3.960116252,3.918840997,3.935602981,9.891033183,11.1672612
9-Feb-18,3.917602125,3.941361342,3.896785725,3.941361342,9.83153833,11.14430016
8-Feb-18,3.882971694,3.932411356,3.882971694,3.917273859,9.970660627,11.10962579
7-Feb-18,3.889609242,3.929884138,3.85954597,3.882029057,9.962335235,11.1162191
6-Feb-18,3.848296907,3.894908382,3.781630452,3.889525797,10.14612183,11.074853
5-Feb-18,3.917533866,3.922457638,3.829733351,3.842313994,9.967795472,11.14402905
4-Feb-18,3.962639206,3.970108274,3.904781523,3.91787348,9.849637428,11.18907744
3-Feb-18,3.947047293,3.974546232,3.916539746,3.962601813,9.86116328,11.17343395
2-Feb-18,3.961054518,3.961054518,3.891899126,3.94599759,10.10472263,11.18738816
1-Feb-18,4.01018543,4.012364725,3.945088288,3.96239491,9.998233175,11.23646672
31-Jan-18,4.004673826,4.016264292,3.990224271,4.009497637,9.905318704,11.23091618
30-Jan-18,4.05333971,4.053355074,4.001569307,4.004592186,9.936406161,11.27952778
29-Jan-18,4.070241106,4.074655561,4.048410726,4.052940062,9.851708314,11.29638215
28-Jan-18,4.059764048,4.080637308,4.059764048,4.071377491,9.921705199,11.28585649
27-Jan-18,4.048243645,4.065015475,4.040966077,4.058452598,9.879856519,11.27428258
26-Jan-18,4.051384084,4.066575619,4.019959125,4.048107602,9.988835319,11.27737539
25-Jan-18,4.057730749,4.071355382,4.04365302,4.051515248,9.948078802,11.28366977
24-Jan-18,4.037561945,4.060750708,4.026933464,4.055355393,9.997429637,11.26344432
23-Jan-18,4.039195926,4.056050661,4.005596584,4.036165614,9.98500455,11.26502312
22-Jan-18,4.065695461,4.077963516,4.010308439,4.038675786,10.02273347,11.29146875
21-Jan-18,4.110225963,4.110451657,4.052624695,4.064461733,9.99717574,11.33593907
20-Jan-18,4.066556991,4.117370741,4.066556991,4.110562776,10.07194457,11.29220954
19-Jan-18,4.058038631,4.078920591,4.048134814,4.064734951,10.03102046,11.28364039
18-Jan-18,4.049171489,4.083047304,4.039116555,4.059748909,10.1766815,11.27471653
17-Jan-18,4.058088024,4.067368471,3.973233642,4.048775748,10.27486416,11.28357936
16-Jan-18,4.141013692,4.141233356,4.00838297,4.060338927,10.2753989,11.36645471
15-Jan-18,4.138848776,4.159732579,4.134868495,4.140501758,10.10553743,11.36423947
14-Jan-18,4.157480945,4.161721284,4.122805463,4.138997014,10.04470044,11.38282181
13-Jan-18,4.144648919,4.166119158,4.144648919,4.157160489,10.10597319,11.36994093
12-Jan-18,4.128848195,4.153201848,4.119193183,4.14552581,10.08155252,11.35408154
11-Jan-18,4.175169577,4.176635234,4.11746685,4.127292736,10.21838056,11.40034282
10-Jan-18,4.16401064,4.175317526,4.136441515,4.175317526,10.26719051,11.3891324
9-Jan-18,4.179658054,4.190261645,4.159085714,4.164216002,10.221675,11.40472256
8-Jan-18,4.216857055,4.218480362,4.152539062,4.180988444,10.26514578,11.44187102
7-Jan-18,4.24371502,4.245008989,4.206493959,4.216893956,10.20046745,11.46867514
6-Jan-18,4.242096471,4.248277411,4.224393196,4.243707587,10.26279744,11.46700248
5-Jan-18,4.189692395,4.248100837,4.181923582,4.241284929,10.37732265,11.41455221
4-Jan-18,4.183858945,4.19699645,4.162032414,4.193102326,10.33812168,11.40866387
3-Jan-18,4.175459625,4.192366706,4.171565574,4.181872159,10.22716399,11.40021323
2-Jan-18,4.134336511,4.188776665,4.119374677,4.175572692,10.22651226,11.35903633
1-Jan-18,4.149594723,4.149594723,4.119080948,4.135361669,10.01246602,11.37424413
31-Dec-17,4.110512271,4.157680356,4.105700892,4.150952825,10.0840863,11.33510872
30-Dec-17,4.166782262,4.166782262,4.091670474,4.112343542,10.15994598,11.39133038
29-Dec-17,4.167193233,4.184094931,4.155548577,4.166021383,10.1147944,11.39169005
28-Dec-17,4.200415439,4.201080165,4.144178648,4.164546163,10.09119196,11.42486204
27-Dec-17,4.208535408,4.228680045,4.179388038,4.199714049,10.09647898,11.43293083
26-Dec-17,4.147261924,4.216461492,4.14702362,4.206820481,10.12886111,11.37161085
